input_size,mean_tree_depth,variance
5,1.0,0.0
15,3.38,0.2581818181818182
25,4.69,0.5998989898989899
35,5.78,1.5470707070707068
45,6.34,0.7317171717171717
55,6.93,1.3384848484848484
65,7.26,1.4064646464646466
75,7.74,1.547878787878788
85,8.14,2.2428282828282824
95,8.2,1.2121212121212122
105,8.68,2.0985858585858583
115,8.9,1.9494949494949498
125,9.31,1.812020202020202
135,9.62,2.0157575757575756
145,9.19,1.1251515151515152
155,9.63,1.6293939393939394
165,9.94,1.5923232323232324
175,10.01,1.3433333333333335
185,10.1,1.5252525252525249
195,10.16,1.6105050505050507
205,10.46,1.5438383838383836
215,10.46,1.4630303030303027
225,10.73,1.875858585858586
235,10.68,1.6339393939393936
245,10.74,1.648888888888889
255,11.31,1.8726262626262624
265,10.98,1.8783838383838385
275,11.17,1.8394949494949497
285,11.35,2.0277777777777777
295,11.5,1.4646464646464648
305,11.49,1.6867676767676771
315,11.56,2.1478787878787884
325,11.45,2.1085858585858586
335,11.66,2.0044444444444443
345,11.77,1.6738383838383841
355,11.72,1.8400000000000003
365,11.84,1.994343434343434
375,11.86,1.5559595959595962
385,11.75,1.3611111111111112
395,12.24,2.1236363636363635
405,12.01,2.03020202020202
415,11.94,1.3498989898989902
425,12.25,2.6338383838383836
435,12.27,1.7344444444444451
445,12.13,1.7102020202020203
455,12.18,1.3006060606060603
465,12.4,2.0000000000000004
475,12.44,1.9660606060606063
485,12.37,1.7102020202020198
495,12.67,1.8394949494949497
